GEOID,violent_per_1000,property_per_1000,crime_low_60
06037910213,0.0,0.0,True
06037920038,0.0,0.0,True
06037115204,19.817932812374124,59.21211632965439,False
06037113324,3.132977488976561,12.183801346019958,True
06037113323,40.04022305512386,74.86973215101929,False
06037104823,8.884803921568627,17.769607843137255,False
06037111304,16.418563922942205,40.389667250437824,False
06037103202,27.044746762825767,48.680544173086375,False
06037101221,9.840425531914894,28.191489361702125,False
06037103402,6.924715909090909,27.965198863636363,False
06037910607,0.0,0.0,True
06037910717,0.0,0.0,True
06037910608,0.0,0.0,True
06037910718,0.0,0.0,True
06037911100,0.0,0.0,True
06037910405,0.0,0.0,True
06037910215,0.0,0.0,True
06037910212,0.0,0.0,True
06037901214,0.0,0.0,True
06037901014,0.0,0.0,True
06037901216,0.0,0.0,True
06037901012,0.0,0.0,True
06037900509,0.0,0.0,True
06037900611,0.0,0.0,True
06037900510,0.0,0.0,True
06037920041,0.0,0.0,True
06037125102,1.461988304093567,28.26510721247563,False
06037920109,0.0,0.0,True
06037125404,68.73589164785552,116.4785553047404,False
06037460002,0.0,0.0,True
06037137203,31.968160225959682,75.87623571703685,False
06037125101,23.914557696772693,58.741583468771765,False
06037125403,22.050437206944622,72.23419085033582,False
06037125321,5.013728064939715,12.17619672913931,True
06037125322,107.96915167095115,220.02117042189624,False
06037310705,0.0,0.0,True
06037139505,21.95217561740494,47.82438259506076,False
06037133101,15.416825275980205,49.676437000380666,False
06037310704,0.0,0.0,True
06037133102,26.91419435068396,36.77384970687511,False
06037131024,25.439127801332525,42.57160162671973,False
06037135205,4.0,22.0,True
06037134801,16.778523489932887,36.241610738255034,False
06037134802,10.357104326248788,32.04229150933218,False
06037131802,37.27760519627224,81.3329567918667,False
06037300602,0.0,0.0,True
06037131022,25.95754499307799,26.6497461928934,False
06037113424,39.90364474235442,135.42103058232092,False
06037119802,17.119306773750395,28.532177956250656,False
06037293205,25.15905147484095,52.63157894736842,False
06037650802,0.0,0.0,True
06037571505,0.0,0.0,True
06037543804,0.0,0.0,True
06037292001,48.445517657712045,92.5897977663749,False
06037603902,0.0,0.0,True
06037541003,1.5076459185871203,7.322851604566013,True
06037603008,0.0,0.0,True
06037603705,0.0,0.0,True
06037541402,0.0,0.0,True
06037503704,0.0,0.0,True
06037602602,0.0,0.0,True
06037551801,0.0,0.0,True
06037602511,0.0,0.0,True
06037536202,0.0,0.0,True
06037703200,0.0,0.88883621711306,True
06037800325,0.0,0.0,True
06037900607,0.0,0.0,True
06037900703,0.0,0.0,True
06037900705,0.0,0.0,True
06037920039,0.0,0.0,True
06037920110,0.0,0.0,True
06037900501,0.0,0.0,True
06037900504,0.0,0.0,True
06037800412,0.0,0.0,True
06037224702,82.88594998035877,126.8822836192222,False
06037403327,0.0,0.0,True
06037270102,4.901960784313726,21.390374331550802,True
06037271703,6.487265737626141,50.81691494473811,False
06037407802,0.0,0.0,True
06037269909,9.339975093399751,51.36986301369863,False
06037271704,13.720022308979363,85.33184606804238,False
06037910301,0.0,0.0,True
06037910302,0.0,0.0,True
06037910401,0.0,0.0,True
06037920111,0.0,0.0,True
06037920112,0.0,0.0,True
06037920200,0.0,0.0,True
06037920313,0.0,0.0,True
06037920322,0.0,0.0,True
06037206301,297.3732033702296,207.16999834792665,False
06037207901,47.937167103006225,81.52026722036652,False
06037264306,5.765904285988853,76.10993657505286,False
06037206202,226.91441441441444,485.36036036036035,False
06037267202,21.214531954388757,78.22858658180853,False
06037207712,118.89091163702561,271.81067077440133,False
06037207308,22.6827219266312,66.36796415569869,False
06037206052,32.65349254993131,277.7131987741731,False
06037206302,253.1112737920937,105.96632503660322,False
06037206201,205.1832541021316,184.48090783622146,False
06037402504,0.0,0.0,True
06037271803,9.751142712036568,24.377856780091417,False
06037216901,12.705882352941176,68.8235294117647,False
06037207305,455.45260156806836,963.2929436920883,False
06037265524,9.954965631666273,55.81891443470017,False
06037203601,54.81852315394242,64.95619524405507,False
06037207306,261.11547525530244,360.0942655145326,False
06037264304,16.526529428819945,88.28645984343288,False
06037530603,0.0,0.0,True
06037206054,37.26182074805928,35.14467184191955,False
06037267101,4.963600264725348,43.01786896095301,False
06037203602,28.01900704571522,29.985253154186466,False
