GEOID,income,ba_rate,pop,pop_density
06037123901,50594.0,0.3029340991436474,4214.666666666667,3264.1571586859523
06037123902,91718.66666666667,0.5308919885583304,2696.6666666666665,4058.732722165447
06037124000,81694.66666666667,0.5802927259506595,4408.333333333333,3306.03758708503
06037124102,73845.33333333333,0.4566476474231281,3672.6666666666665,5657.105859966862
06037124103,63648.333333333336,0.16098277344845982,1809.6666666666667,5586.25302258579
06037124104,53583.0,0.17584120158048244,2773.6666666666665,8548.984313677141
06037124105,64349.333333333336,0.2939838891877881,2213.3333333333335,6819.888190808968
06037124201,75681.66666666667,0.2553109057643867,3614.0,3715.8247455009628
06037124203,75168.0,0.37182901780340566,2058.3333333333335,6347.9042150084
06037124204,54512.0,0.2874479530278144,2387.6666666666665,7361.36674980705
06037124300,72217.66666666667,0.30814247274305545,3036.6666666666665,3408.15945547264
06037124400,86973.33333333333,0.3838199943919567,4483.0,4662.782921088406
06037124500,77918.33333333333,0.551298812273573,2738.0,3388.978763802538
06037124600,98486.33333333333,0.5041669037176003,2817.6666666666665,2515.7109167508906
06037124700,108077.33333333333,0.6002492191972665,5243.333333333333,3890.8186326926216
06037124902,65202.333333333336,0.5078993216207599,3168.0,9356.586972252166
06037124903,80360.66666666667,0.4581979833367858,3852.0,12369.74358150961
06037125101,80612.33333333333,0.48253818389349323,4307.0,6628.356500006155
06037125102,147761.33333333334,0.6891196617348414,2052.0,3162.298985197913
06037125200,86527.66666666667,0.5679203744632072,4081.0,3131.4022635718397
06037125310,63181.0,0.4922634208503383,4047.0,3839.7167319428
06037125321,61485.333333333336,0.45545175243521774,2792.3333333333335,10770.023926243914
06037125322,45067.666666666664,0.47822882071890166,2204.3333333333335,5906.352209009666
06037125402,86098.33333333333,0.514827594747982,4107.666666666667,5604.132587328376
06037125403,86866.33333333333,0.6159014058573344,2630.3333333333335,15625.95917171129
06037125404,79839.0,0.7041601442360772,2953.3333333333335,12871.302950666302
06037125501,63331.333333333336,0.5016591965282782,2917.0,6285.351059589093
06037125502,85969.33333333333,0.49980060270152366,3690.3333333333335,7057.247144527271
06037125600,106799.0,0.5223716725498374,2991.3333333333335,2926.1074716820685
06037127102,64080.0,0.23540584472368806,5187.666666666667,6037.309275647024
06037127103,55406.666666666664,0.2689023678749209,3394.0,12118.615321443236
06037127104,64846.333333333336,0.23473840070589688,4398.0,6213.602109064399
06037127210,65035.666666666664,0.2405265338999419,5557.333333333333,3609.2837740915684
06037127220,48543.0,0.2300467667302765,4920.333333333333,7535.7746363826645
06037127300,76553.0,0.2874749416988036,3994.3333333333335,3770.9213283159283
06037127400,64736.666666666664,0.1853136806946667,5704.333333333333,2643.875541795187
06037127520,51409.0,0.1114642590264534,4677.666666666667,12860.73146613072
06037127603,58871.0,0.18743246150374934,2780.3333333333335,6444.848293788035
06037127604,48427.0,0.35352363759380206,3104.3333333333335,7143.985873118884
06037127605,66647.66666666667,0.15447323903018137,3659.0,5673.563118583516
06037127606,68995.33333333333,0.28727397948087696,3254.6666666666665,5985.979174138412
06037127711,94816.0,0.3603726116150916,3132.0,3278.0948533282817
06037127712,66669.66666666667,0.2801093427520586,4142.0,7266.539183523096
